ccode,opt_price,fut_price,strike,dfactor,call_put,opt_exp,fut_exp,rec_date
2EH21,0.615,99.72,99.125,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.495,99.72,99.25,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.38,99.72,99.375,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.27,99.72,99.5,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.175,99.72,99.625,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.095,99.72,99.75,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.05,99.72,99.875,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.03,99.72,100,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.02,99.72,100.125,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.015,99.72,100.25,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.01,99.72,99.125,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.015,99.72,99.25,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.025,99.72,99.375,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.04,99.72,99.5,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.07,99.72,99.625,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.115,99.72,99.75,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.195,99.72,99.875,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.3,99.72,100,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.415,99.72,100.125,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.535,99.72,100.25,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
1EU21,5.54,99.78,94.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,5.29,99.78,94.5,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,5.04,99.78,94.75,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,4.79,99.78,95,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,4.54,99.78,95.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,4.29,99.78,95.5,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,4.04,99.78,95.75,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,3.79,99.78,96,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,3.54,99.78,96.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,3.29,99.78,96.5,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,3.04,99.78,96.75,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,2.79,99.78,97,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,2.54,99.78,97.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
