ccode,opt_price,fut_price,strike,dfactor,call_put,opt_exp,fut_exp,rec_date
2EH21,0.615,99.72,99.125,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.495,99.72,99.25,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.38,99.72,99.375,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.27,99.72,99.5,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.175,99.72,99.625,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.095,99.72,99.75,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.05,99.72,99.875,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.03,99.72,100,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.02,99.72,100.125,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.015,99.72,100.25,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.01,99.72,99.125,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.015,99.72,99.25,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.025,99.72,99.375,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.04,99.72,99.5,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.07,99.72,99.625,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.115,99.72,99.75,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.195,99.72,99.875,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.3,99.72,100,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.415,99.72,100.125,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,0.535,99.72,100.25,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
1EU21,0.5625,99.78,99.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.4475,99.78,99.375,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.335,99.78,99.5,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.2325,99.78,99.625,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.145,99.78,99.75,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.09,99.78,99.875,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.06,99.78,100,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.04,99.78,100.125,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.0275,99.78,100.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.02,99.78,100.375,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.0225,99.78,99.25,0.99342,-1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.0325,99.78,99.375,0.99342,-1,2021-09-10,2022-09-19,2020-09-03
1EU21,0.045,99.78,99.5,0.99342,-1,2021-09-10,2022-09-19,2020-09-03
