ccode,opt_price,fut_price,strike,dfactor,call_put,opt_exp,fut_exp,rec_date
LNZ20,0.3857,3.286,3.12,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3714,3.286,3.15,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3489,3.286,3.2,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3403,3.286,3.22,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.328,3.286,3.25,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3083,3.286,3.3,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2903,3.286,3.35,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2736,3.286,3.4,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2581,3.286,3.45,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2437,3.286,3.5,0.99954,1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2317,3.286,3.12,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2454,3.286,3.15,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2729,3.286,3.2,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.2865,3.286,3.22,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.302,3.286,3.25,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3323,3.286,3.3,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3663,3.286,3.35,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.3996,3.286,3.4,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.434,3.286,3.45,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ20,0.4694,3.286,3.5,0.99954,-1,2020-11-24,2020-11-25,2020-09-07
LNZ21,0.501,3.079,2.9,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.4963,3.079,2.91,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.4777,3.079,2.95,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.4553,3.079,3,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.4339,3.079,3.05,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.4134,3.079,3.1,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.3938,3.079,3.15,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.3755,3.079,3.2,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.3644,3.079,3.23,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.3573,3.079,3.25,0.99871,1,2021-11-24,2021-11-26,2020-09-07
LNZ21,0.3421,3.079,2.9,0.99871,-1,2021-11-24,2021-11-26,2020-09-07
